original_index,unit1_rgb3,original_unit1_pwr3_best-beam,original_unit1_pwr3
2674,../scenario36/unit1/rgb3/frame_11-46-31.205818.jpg,34,./unit1/pwr3/pwr_11-46-30.559536.txt
2675,../scenario36/unit1/rgb3/frame_11-46-31.305919.jpg,33,./unit1/pwr3/pwr_11-46-30.659452.txt
2676,../scenario36/unit1/rgb3/frame_11-46-31.406020.jpg,34,./unit1/pwr3/pwr_11-46-30.759397.txt
2677,../scenario36/unit1/rgb3/frame_11-46-31.506121.jpg,34,./unit1/pwr3/pwr_11-46-30.859787.txt
2678,../scenario36/unit1/rgb3/frame_11-46-31.606222.jpg,33,./unit1/pwr3/pwr_11-46-30.960223.txt
2679,../scenario36/unit1/rgb3/frame_11-46-31.706323.jpg,33,./unit1/pwr3/pwr_11-46-31.059998.txt
2680,../scenario36/unit1/rgb3/frame_11-46-31.806424.jpg,34,./unit1/pwr3/pwr_11-46-31.159664.txt
2681,../scenario36/unit1/rgb3/frame_11-46-31.906525.jpg,33,./unit1/pwr3/pwr_11-46-31.259686.txt
2682,../scenario36/unit1/rgb3/frame_11-46-32.006626.jpg,34,./unit1/pwr3/pwr_11-46-31.360005.txt
2683,../scenario36/unit1/rgb3/frame_11-46-32.106727.jpg,33,./unit1/pwr3/pwr_11-46-31.459994.txt
2684,../scenario36/unit1/rgb3/frame_11-46-32.206828.jpg,33,./unit1/pwr3/pwr_11-46-31.559757.txt
2685,../scenario36/unit1/rgb3/frame_11-46-32.306929.jpg,33,./unit1/pwr3/pwr_11-46-31.659640.txt
2686,../scenario36/unit1/rgb3/frame_11-46-32.407030.jpg,34,./unit1/pwr3/pwr_11-46-31.759610.txt
2687,../scenario36/unit1/rgb3/frame_11-46-32.507131.jpg,33,./unit1/pwr3/pwr_11-46-31.859441.txt
2688,../scenario36/unit1/rgb3/frame_11-46-32.607232.jpg,33,./unit1/pwr3/pwr_11-46-31.959645.txt
2689,../scenario36/unit1/rgb3/frame_11-46-32.707333.jpg,33,./unit1/pwr3/pwr_11-46-32.059402.txt
2690,../scenario36/unit1/rgb3/frame_11-46-32.807434.jpg,33,./unit1/pwr3/pwr_11-46-32.160005.txt
2691,../scenario36/unit1/rgb3/frame_11-46-32.907535.jpg,33,./unit1/pwr3/pwr_11-46-32.260057.txt
2692,../scenario36/unit1/rgb3/frame_11-46-33.007636.jpg,33,./unit1/pwr3/pwr_11-46-32.360235.txt
2693,../scenario36/unit1/rgb3/frame_11-46-33.107737.jpg,34,./unit1/pwr3/pwr_11-46-32.459934.txt
2694,../scenario36/unit1/rgb3/frame_11-46-33.207838.jpg,33,./unit1/pwr3/pwr_11-46-32.560175.txt
2695,../scenario36/unit1/rgb3/frame_11-46-33.307939.jpg,33,./unit1/pwr3/pwr_11-46-32.660241.txt
2696,../scenario36/unit1/rgb3/frame_11-46-33.408040.jpg,33,./unit1/pwr3/pwr_11-46-32.759708.txt
2697,../scenario36/unit1/rgb3/frame_11-46-33.508141.jpg,33,./unit1/pwr3/pwr_11-46-32.859837.txt
2698,../scenario36/unit1/rgb3/frame_11-46-33.608242.jpg,33,./unit1/pwr3/pwr_11-46-32.959544.txt
2699,../scenario36/unit1/rgb3/frame_11-46-33.708343.jpg,34,./unit1/pwr3/pwr_11-46-33.059587.txt
2700,../scenario36/unit1/rgb3/frame_11-46-33.808444.jpg,33,./unit1/pwr3/pwr_11-46-33.159992.txt
2701,../scenario36/unit1/rgb3/frame_11-46-33.908545.jpg,34,./unit1/pwr3/pwr_11-46-33.259836.txt
2702,../scenario36/unit1/rgb3/frame_11-46-34.008646.jpg,33,./unit1/pwr3/pwr_11-46-33.360067.txt
2703,../scenario36/unit1/rgb3/frame_11-46-34.108747.jpg,33,./unit1/pwr3/pwr_11-46-33.460223.txt
2704,../scenario36/unit1/rgb3/frame_11-46-34.208848.jpg,33,./unit1/pwr3/pwr_11-46-33.559578.txt
2705,../scenario36/unit1/rgb3/frame_11-46-34.308949.jpg,33,./unit1/pwr3/pwr_11-46-33.659265.txt
2706,../scenario36/unit1/rgb3/frame_11-46-34.409050.jpg,34,./unit1/pwr3/pwr_11-46-33.760150.txt
2707,../scenario36/unit1/rgb3/frame_11-46-34.509151.jpg,34,./unit1/pwr3/pwr_11-46-33.859334.txt
2708,../scenario36/unit1/rgb3/frame_11-46-34.609252.jpg,34,./unit1/pwr3/pwr_11-46-33.959720.txt
2709,../scenario36/unit1/rgb3/frame_11-46-34.709353.jpg,34,./unit1/pwr3/pwr_11-46-34.060007.txt
2710,../scenario36/unit1/rgb3/frame_11-46-34.809454.jpg,34,./unit1/pwr3/pwr_11-46-34.160186.txt
2711,../scenario36/unit1/rgb3/frame_11-46-34.909555.jpg,34,./unit1/pwr3/pwr_11-46-34.259513.txt
2712,../scenario36/unit1/rgb3/frame_11-46-35.009656.jpg,33,./unit1/pwr3/pwr_11-46-34.359670.txt
2713,../scenario36/unit1/rgb3/frame_11-46-35.109757.jpg,34,./unit1/pwr3/pwr_11-46-34.459702.txt
2714,../scenario36/unit1/rgb3/frame_11-46-35.209858.jpg,33,./unit1/pwr3/pwr_11-46-34.559783.txt
2715,../scenario36/unit1/rgb3/frame_11-46-35.309959.jpg,33,./unit1/pwr3/pwr_11-46-34.659312.txt
2716,../scenario36/unit1/rgb3/frame_11-46-35.410060.jpg,33,./unit1/pwr3/pwr_11-46-34.759515.txt
2717,../scenario36/unit1/rgb3/frame_11-46-35.510161.jpg,33,./unit1/pwr3/pwr_11-46-34.860171.txt
2718,../scenario36/unit1/rgb3/frame_11-46-35.610262.jpg,34,./unit1/pwr3/pwr_11-46-34.959371.txt
2719,../scenario36/unit1/rgb3/frame_11-46-35.710363.jpg,33,./unit1/pwr3/pwr_11-46-35.060027.txt
2720,../scenario36/unit1/rgb3/frame_11-46-35.810464.jpg,33,./unit1/pwr3/pwr_11-46-35.159567.txt
2721,../scenario36/unit1/rgb3/frame_11-46-35.910565.jpg,33,./unit1/pwr3/pwr_11-46-35.259667.txt
2722,../scenario36/unit1/rgb3/frame_11-46-36.010666.jpg,34,./unit1/pwr3/pwr_11-46-35.359554.txt
2723,../scenario36/unit1/rgb3/frame_11-46-36.110767.jpg,33,./unit1/pwr3/pwr_11-46-35.460175.txt
2724,../scenario36/unit1/rgb3/frame_11-46-36.210868.jpg,33,./unit1/pwr3/pwr_11-46-35.559414.txt
2725,../scenario36/unit1/rgb3/frame_11-46-36.310969.jpg,34,./unit1/pwr3/pwr_11-46-35.659697.txt
2726,../scenario36/unit1/rgb3/frame_11-46-36.411070.jpg,34,./unit1/pwr3/pwr_11-46-35.759665.txt
2727,../scenario36/unit1/rgb3/frame_11-46-36.511171.jpg,33,./unit1/pwr3/pwr_11-46-35.859811.txt
2728,../scenario36/unit1/rgb3/frame_11-46-36.611272.jpg,34,./unit1/pwr3/pwr_11-46-35.959608.txt
2729,../scenario36/unit1/rgb3/frame_11-46-36.711373.jpg,33,./unit1/pwr3/pwr_11-46-36.060214.txt
2730,../scenario36/unit1/rgb3/frame_11-46-36.811474.jpg,33,./unit1/pwr3/pwr_11-46-36.159352.txt
2731,../scenario36/unit1/rgb3/frame_11-46-36.911575.jpg,33,./unit1/pwr3/pwr_11-46-36.259419.txt
2732,../scenario36/unit1/rgb3/frame_11-46-37.011676.jpg,33,./unit1/pwr3/pwr_11-46-36.359937.txt
2733,../scenario36/unit1/rgb3/frame_11-46-37.111777.jpg,33,./unit1/pwr3/pwr_11-46-36.460046.txt
2734,../scenario36/unit1/rgb3/frame_11-46-37.211878.jpg,34,./unit1/pwr3/pwr_11-46-36.560143.txt
2735,../scenario36/unit1/rgb3/frame_11-46-37.311979.jpg,34,./unit1/pwr3/pwr_11-46-36.659242.txt
2736,../scenario36/unit1/rgb3/frame_11-46-37.412080.jpg,34,./unit1/pwr3/pwr_11-46-36.759638.txt
2737,../scenario36/unit1/rgb3/frame_11-46-37.512181.jpg,34,./unit1/pwr3/pwr_11-46-36.859995.txt
2738,../scenario36/unit1/rgb3/frame_11-46-37.612282.jpg,33,./unit1/pwr3/pwr_11-46-36.960134.txt
2739,../scenario36/unit1/rgb3/frame_11-46-37.712383.jpg,34,./unit1/pwr3/pwr_11-46-37.060171.txt
2740,../scenario36/unit1/rgb3/frame_11-46-37.812484.jpg,34,./unit1/pwr3/pwr_11-46-37.159344.txt
2741,../scenario36/unit1/rgb3/frame_11-46-37.912585.jpg,33,./unit1/pwr3/pwr_11-46-37.259779.txt
2742,../scenario36/unit1/rgb3/frame_11-46-38.012686.jpg,34,./unit1/pwr3/pwr_11-46-37.359241.txt
2743,../scenario36/unit1/rgb3/frame_11-46-38.112787.jpg,33,./unit1/pwr3/pwr_11-46-37.460093.txt
2744,../scenario36/unit1/rgb3/frame_11-46-38.212888.jpg,33,./unit1/pwr3/pwr_11-46-37.559632.txt
2745,../scenario36/unit1/rgb3/frame_11-46-38.312989.jpg,34,./unit1/pwr3/pwr_11-46-37.659285.txt
2746,../scenario36/unit1/rgb3/frame_11-46-38.413090.jpg,33,./unit1/pwr3/pwr_11-46-37.759878.txt
2747,../scenario36/unit1/rgb3/frame_11-46-38.513191.jpg,34,./unit1/pwr3/pwr_11-46-37.859710.txt
2748,../scenario36/unit1/rgb3/frame_11-46-38.613292.jpg,34,./unit1/pwr3/pwr_11-46-37.959582.txt
2749,../scenario36/unit1/rgb3/frame_11-46-38.713393.jpg,34,./unit1/pwr3/pwr_11-46-38.059484.txt
2750,../scenario36/unit1/rgb3/frame_11-46-38.813494.jpg,33,./unit1/pwr3/pwr_11-46-38.159318.txt
2751,../scenario36/unit1/rgb3/frame_11-46-38.913595.jpg,34,./unit1/pwr3/pwr_11-46-38.260009.txt
2752,../scenario36/unit1/rgb3/frame_11-46-39.013696.jpg,33,./unit1/pwr3/pwr_11-46-38.360127.txt
2753,../scenario36/unit1/rgb3/frame_11-46-39.113797.jpg,33,./unit1/pwr3/pwr_11-46-38.459590.txt
2754,../scenario36/unit1/rgb3/frame_11-46-39.213898.jpg,33,./unit1/pwr3/pwr_11-46-38.560193.txt
2755,../scenario36/unit1/rgb3/frame_11-46-39.313999.jpg,34,./unit1/pwr3/pwr_11-46-38.660057.txt
2756,../scenario36/unit1/rgb3/frame_11-46-39.414100.jpg,33,./unit1/pwr3/pwr_11-46-38.759961.txt
2757,../scenario36/unit1/rgb3/frame_11-46-39.514201.jpg,33,./unit1/pwr3/pwr_11-46-38.859645.txt
2758,../scenario36/unit1/rgb3/frame_11-46-39.614302.jpg,34,./unit1/pwr3/pwr_11-46-38.960117.txt
2759,../scenario36/unit1/rgb3/frame_11-46-39.714403.jpg,34,./unit1/pwr3/pwr_11-46-39.059726.txt
2760,../scenario36/unit1/rgb3/frame_11-46-39.814504.jpg,34,./unit1/pwr3/pwr_11-46-39.159913.txt
2761,../scenario36/unit1/rgb3/frame_11-46-39.914605.jpg,34,./unit1/pwr3/pwr_11-46-39.260274.txt
2762,../scenario36/unit1/rgb3/frame_11-46-40.014706.jpg,34,./unit1/pwr3/pwr_11-46-39.360209.txt
2763,../scenario36/unit1/rgb3/frame_11-46-40.114807.jpg,34,./unit1/pwr3/pwr_11-46-39.459441.txt
2764,../scenario36/unit1/rgb3/frame_11-46-40.214908.jpg,34,./unit1/pwr3/pwr_11-46-39.559446.txt
2765,../scenario36/unit1/rgb3/frame_11-46-40.315009.jpg,33,./unit1/pwr3/pwr_11-46-39.659573.txt
2766,../scenario36/unit1/rgb3/frame_11-46-40.415110.jpg,33,./unit1/pwr3/pwr_11-46-39.759855.txt
2767,../scenario36/unit1/rgb3/frame_11-46-40.515211.jpg,33,./unit1/pwr3/pwr_11-46-39.859693.txt
2768,../scenario36/unit1/rgb3/frame_11-46-40.615312.jpg,34,./unit1/pwr3/pwr_11-46-39.959729.txt
2769,../scenario36/unit1/rgb3/frame_11-46-40.715413.jpg,33,./unit1/pwr3/pwr_11-46-40.059304.txt
2770,../scenario36/unit1/rgb3/frame_11-46-40.815514.jpg,34,./unit1/pwr3/pwr_11-46-40.159671.txt
2771,../scenario36/unit1/rgb3/frame_11-46-40.915615.jpg,33,./unit1/pwr3/pwr_11-46-40.260164.txt
2772,../scenario36/unit1/rgb3/frame_11-46-41.015716.jpg,34,./unit1/pwr3/pwr_11-46-40.359338.txt
2773,../scenario36/unit1/rgb3/frame_11-46-41.115817.jpg,34,./unit1/pwr3/pwr_11-46-40.460217.txt
2774,../scenario36/unit1/rgb3/frame_11-46-41.215918.jpg,33,./unit1/pwr3/pwr_11-46-40.559931.txt
